event_type,latitude,longitude,requires_road_closure,priority,status,corridor,zone,junction,resolution_minutes,planned_duration_minutes,hour_of_day,day_of_week,is_peak_hour,is_weekend,corridor_rank,junction_recurrence,event_cause_enc,veh_type_enc,zone_enc
unplanned,13.0254527,77.6417388,0,High,active,ORR North 1,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,239,4974,4,10,10
unplanned,12.9233517,77.5904883,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,2756,4974,10,10,10
unplanned,13.0001393,77.5840594,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,4.0,1.0,0,0,537,4974,11,3,10
unplanned,12.927375,77.5806883,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,2756,4974,10,10,10
unplanned,12.9169074,77.5950955,0,Low,closed,Non-corridor,South Zone 1,28thMainJayanagarJunc,700.3774083333333,,22.0,4.0,0,0,2756,6,5,10,6
unplanned,12.9667047,77.6615983,0,Low,active,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.8966387,77.7202071,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,2756,4974,13,10,10
unplanned,12.9856042,77.5977438,0,High,active,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.9077383,77.6005709,0,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,196,4974,11,1,10
unplanned,12.9635109,77.6642122,0,Low,closed,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.9667073,77.6615616,0,Low,active,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.9666867,77.6616478,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,2756,4974,5,10,10
unplanned,12.907814,77.6006561,1,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,196,4974,11,1,10
unplanned,12.8955737,77.5993711,0,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,5.0,1.0,0,0,196,4974,11,4,10
unplanned,12.92757,77.5832051,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,2756,4974,10,10,10
unplanned,12.9666885,77.6616396,0,Low,active,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.9789228,77.5644032,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,215,4974,11,1,10
unplanned,12.8636494,77.6725849,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,3.0,1.0,0,0,2756,4974,1,10,10
unplanned,12.9219483,77.6002467,0,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,15.0,1.0,0,0,196,4974,11,2,10
unplanned,12.9666597,77.661556,0,Low,active,unknown,unknown,unknown,700.3774083333333,,8.0,1.0,1,0,17,4974,5,10,10
unplanned,12.9936273,77.5844677,1,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,537,4974,4,10,10
unplanned,12.9465079,77.6986339,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,20.0,1.0,1,0,223,4974,11,1,10
unplanned,13.0467058,77.5036495,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,18.0,3.0,1,0,2756,4974,11,4,10
planned,13.0085677,77.6131497,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,700.3774083333333,21.0,1.0,0,0,2756,4974,3,10,10
unplanned,13.0309717,77.5364661,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,19.0,1.0,1,0,400,4974,11,4,10
unplanned,13.0262806,77.5442344,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,400,4974,4,10,10
unplanned,12.9938639,77.5844374,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,537,4974,10,10,10
unplanned,12.9188682,77.6687736,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,21.0,1.0,0,0,223,4974,11,1,10
unplanned,12.936133,77.5187044,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,21.0,1.0,0,0,629,4974,11,4,10
planned,12.9694079,77.7006346,0,High,closed,ORR East 2,unknown,unknown,729.7378,729.7378,20.0,1.0,1,0,179,4974,3,10,10
unplanned,12.9849833,77.5883633,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,21.0,1.0,0,0,537,4974,11,7,10
unplanned,13.0127301,77.5545135,0,High,closed,West of Chord Road,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,158,4974,11,9,10
unplanned,12.9842019,77.7336286,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,1.0,0,0,2756,4974,9,10,10
unplanned,13.2644465,77.7187627,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,19.0,1.0,1,0,2756,4974,11,2,10
unplanned,12.9848257,77.7527586,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,22.0,1.0,0,0,2756,4974,11,7,10
unplanned,12.9932986,77.5837571,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,537,4974,10,10,10
unplanned,12.9937523,77.5842482,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,537,4974,10,10,10
unplanned,12.9938868,77.5841876,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,537,4974,10,10,10
unplanned,12.9368467,77.6928653,0,High,resolved,ORR East 1,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,223,4974,11,7,10
unplanned,13.0126766,77.5581246,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,2756,4974,10,10,10
unplanned,12.9513113,77.4994888,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,2756,4974,11,1,10
unplanned,13.0160964,77.5068555,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,1.0,0,0,2756,4974,11,1,10
unplanned,12.9807501,77.6028238,0,High,active,CBD 1,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,24,4974,5,10,10
unplanned,12.9165983,77.583705,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,2756,4974,10,10,10
unplanned,13.0198619,77.6562235,0,High,active,unknown,unknown,unknown,700.3774083333333,,1.0,2.0,0,0,17,4974,5,10,10
unplanned,13.0191848,77.6555127,0,High,active,ORR North 1,unknown,unknown,700.3774083333333,,1.0,2.0,0,0,239,4974,5,10,10
unplanned,12.9740971,77.5449011,0,High,closed,West of Chord Road,unknown,unknown,700.3774083333333,,0.0,2.0,0,0,158,4974,11,1,10
unplanned,12.9838737,77.5286068,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,215,4974,5,10,10
unplanned,12.9595586,77.5162093,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,2756,4974,4,10,10
unplanned,12.9511354,77.5739687,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,22.0,1.0,0,0,2756,4974,11,4,10
unplanned,13.0192138,77.5395595,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,2756,4974,11,5,10
unplanned,12.9161187,77.5856548,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,5,10,10
unplanned,12.9284355,77.6811918,1,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,23.0,1.0,0,0,223,4974,11,1,10
unplanned,13.0753282,77.4370383,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,2756,4974,11,2,10
unplanned,13.2673624,77.7195893,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,2756,4974,11,2,10
unplanned,12.9449039,77.4949618,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,4,10,10
planned,12.969418,77.7006526,0,High,closed,ORR East 2,unknown,unknown,762.4895166666666,762.4895166666666,21.0,3.0,0,0,179,4974,3,10,10
unplanned,12.9613232,77.5644194,1,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,629,4974,4,10,10
unplanned,12.959419,77.5165897,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,4,10,10
unplanned,12.9431035,77.6220445,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,5,10,10
unplanned,12.8482637,77.6713737,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,2.0,2.0,0,0,2756,4974,11,4,10
unplanned,12.96672,77.6093294,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,5.0,2.0,0,0,629,4974,11,1,10
unplanned,13.0253205,77.6400845,0,High,closed,ORR North 1,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,239,4974,11,6,10
unplanned,12.8561783,77.6645205,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,2.0,2.0,0,0,2756,4974,11,2,10
unplanned,12.9641056,77.5825203,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,3.0,2.0,0,0,629,4974,13,10,10
unplanned,12.974757,77.5657216,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,1.0,2.0,0,0,215,4974,11,4,10
unplanned,12.9640011,77.5836093,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,1.0,2.0,0,0,629,4974,11,1,10
unplanned,12.9480512,77.5343585,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,4.0,2.0,0,0,629,4974,11,2,10
unplanned,12.9245654,77.6739287,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,3.0,2.0,0,0,223,4974,11,1,10
unplanned,13.0035862,77.5721203,1,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,10,10,10
unplanned,12.9854129,77.5941024,0,High,active,CBD 2,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,94,4974,4,10,10
unplanned,12.9272622,77.5806774,1,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,10,10,10
unplanned,13.0022504,77.5722138,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,10,10,10
unplanned,12.9586724,77.5629452,1,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,629,4974,10,10,10
unplanned,13.0369808,77.5895122,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,3.0,2.0,0,0,537,4974,11,9,10
unplanned,12.9169077,77.5737827,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,3.0,2.0,0,0,2756,4974,11,1,10
unplanned,12.9047066,77.6016042,0,High,active,Bannerghata Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,196,4974,5,10,10
unplanned,12.9047995,77.6017019,0,High,active,Bannerghata Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,196,4974,5,10,10
unplanned,12.9774707,77.5457303,0,High,active,West of Chord Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,158,4974,13,10,10
unplanned,12.904781,77.6015741,0,High,active,Bannerghata Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,196,4974,5,10,10
unplanned,12.9585656,77.5932824,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,7.0,2.0,1,0,2756,4974,4,10,10
unplanned,12.9601533,77.5633429,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,629,4974,10,10,10
unplanned,12.9578001,77.5631189,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,2756,4974,10,10,10
unplanned,12.95836,77.5776317,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,2756,4974,11,6,10
unplanned,12.9187567,77.621505,0,High,closed,ORR East 1,South Zone 2,SilkBoardJunc,700.3774083333333,,2.0,5.0,0,1,223,30,5,10,7
unplanned,12.9360494,77.6154975,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,20.0,3.0,1,0,2756,4974,11,4,10
unplanned,12.9784088,77.6285392,0,High,active,Old Madras Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,241,4974,13,10,10
unplanned,12.9873237,77.6037885,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,2756,4974,5,10,10
unplanned,13.0190323,77.654465,0,High,closed,ORR North 1,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,239,4974,11,1,10
unplanned,12.9119892,77.6254956,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,6.0,2.0,0,0,274,4974,11,1,10
unplanned,12.9893579,77.5064443,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,5.0,2.0,0,0,215,4974,11,2,10
unplanned,13.0152581,77.5639687,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,400,4974,11,4,10
unplanned,12.9614398,77.5600867,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,8.0,2.0,1,0,629,4974,11,4,10
unplanned,12.9194445,77.6215536,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,8.0,2.0,1,0,274,4974,11,1,10
unplanned,13.0501731,77.4947759,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,11.0,2.0,0,0,2756,4974,3,10,10
unplanned,12.8400906,77.6764868,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,16.0,2.0,0,0,2756,4974,1,10,10
unplanned,13.042636,77.5147881,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,19.0,2.0,1,0,400,4974,1,10,10
unplanned,12.9110914,77.6001308,0,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,19.0,2.0,1,0,196,4974,11,2,10
unplanned,12.9516567,77.500185,0,Low,closed,Non-corridor,West Zone 1,RingRoad-UllalJunction,700.3774083333333,,9.0,5.0,1,1,2756,7,4,10,8
unplanned,12.9698017,77.7319617,0,Low,active,unknown,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,17,4974,5,10,10
unplanned,12.9900159,77.5025425,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,215,4974,11,1,10
unplanned,13.0424443,77.5147257,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,19.0,2.0,1,0,400,4974,1,10,10
unplanned,12.9216832,77.6199372,1,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,19.0,2.0,1,0,274,4974,11,2,10
unplanned,13.0467369,77.575502,0,High,closed,ORR North 2,North Zone 2,BhadrappaLayout,700.3774083333333,,7.0,3.0,1,0,166,2,4,10,5
unplanned,13.0427379,77.5892891,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,537,4974,11,4,10
unplanned,13.0308555,77.5359082,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,400,4974,11,2,10
planned,12.9693576,77.7006406,0,High,closed,ORR East 2,unknown,unknown,720.6875,720.6875,21.0,2.0,0,0,179,4974,3,10,10
unplanned,12.9625526,77.5916298,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,11,6,10
unplanned,12.9893817,77.5927844,0,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,23.0,3.0,0,0,2756,4974,4,10,10
unplanned,12.938565,77.6979933,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,23.0,3.0,0,0,223,4974,13,10,10
unplanned,12.9690624,77.5872736,1,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,23.0,3.0,0,0,629,4974,11,1,10
unplanned,12.961311,77.55932,1,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,23.0,3.0,0,0,629,4974,10,10,10
unplanned,12.9146696,77.5640607,0,High,closed,ORR West 1,unknown,unknown,700.3774083333333,,21.0,2.0,0,0,140,4974,9,10,10
unplanned,12.9173038,77.5882958,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,2.0,0,0,2756,4974,11,1,10
unplanned,12.9144686,77.5650362,0,High,active,ORR West 1,unknown,unknown,700.3774083333333,,21.0,2.0,0,0,140,4974,9,10,10
unplanned,12.9144815,77.5650493,0,High,active,ORR West 1,unknown,unknown,700.3774083333333,,21.0,2.0,0,0,140,4974,9,10,10
unplanned,12.9113626,77.5999548,0,High,closed,Bannerghata Road,unknown,unknown,700.3774083333333,,19.0,2.0,1,0,196,4974,11,2,10
unplanned,12.9353705,77.5182037,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,21.0,2.0,0,0,629,4974,11,2,10
unplanned,12.9216444,77.5940415,1,Low,active,Non-corridor,unknown,unknown,700.3774083333333,,23.0,3.0,0,0,2756,4974,10,10,10
unplanned,12.9246541,77.6497438,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,22.0,2.0,0,0,223,4974,11,4,10
unplanned,12.9145147,77.5649877,0,High,active,ORR West 1,unknown,unknown,700.3774083333333,,22.0,2.0,0,0,140,4974,9,10,10
unplanned,12.9145447,77.5650079,0,High,active,ORR West 1,unknown,unknown,700.3774083333333,,22.0,2.0,0,0,140,4974,9,10,10
unplanned,12.9635928,77.6263774,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,2756,4974,11,5,10
unplanned,13.0310785,77.5357035,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,20.0,2.0,1,0,400,4974,11,6,10
unplanned,12.8700974,77.6533824,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,0.0,4.0,0,0,274,4974,11,1,10
unplanned,12.9211317,77.6627683,0,High,closed,ORR East 1,unknown,IbblurJunction',700.3774083333333,,6.0,3.0,0,0,223,13,13,10,10
unplanned,12.9832059,77.5766759,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,2756,4974,11,5,10
unplanned,12.9793286,77.5105419,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,0.0,4.0,0,0,2756,4974,4,10,10
unplanned,13.022765,77.6014354,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,0.0,4.0,0,0,2756,4974,10,10,10
unplanned,12.9943131,77.617972,0,Low,closed,unknown,unknown,unknown,700.3774083333333,,23.0,2.0,0,0,17,4974,5,10,10
unplanned,13.0071299,77.5267687,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,21.0,3.0,0,0,2756,4974,11,1,10
planned,13.1511992,77.620242,0,High,closed,Bellary Road 2,unknown,unknown,359.7474,359.7474,0.0,3.0,0,0,329,4974,3,10,10
unplanned,13.0264,77.544019,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,22.0,3.0,0,0,400,4974,11,3,10
unplanned,13.1212507,77.6179465,0,Low,closed,Non-corridor,North Zone 2,unknown,700.3774083333333,,21.0,0.0,0,0,2756,4974,5,10,5
unplanned,12.9895389,77.5057545,0,High,active,Magadi Road,unknown,unknown,700.3774083333333,,0.0,4.0,0,0,215,4974,5,10,10
unplanned,12.9245044,77.6502426,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,22.0,2.0,0,0,223,4974,11,4,10
unplanned,12.9664142,77.5125512,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,0.0,3.0,0,0,2756,4974,11,9,10
unplanned,12.9758786,77.5643384,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,1.0,4.0,0,0,215,4974,11,0,10
unplanned,12.9641027,77.5700324,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,1.0,3.0,0,0,629,4974,11,1,10
unplanned,12.9124656,77.5805324,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,5.0,3.0,0,0,2756,4974,10,10,10
unplanned,12.9228317,77.6575101,0,High,closed,ORR East 1,unknown,unknown,700.3774083333333,,23.0,2.0,0,0,223,4974,11,4,10
unplanned,13.0378641,77.5222897,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,1.0,3.0,0,0,400,4974,11,4,10
unplanned,12.9583476,77.5547336,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,2.0,4.0,0,0,629,4974,11,2,10
unplanned,12.8895087,77.6408236,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,0.0,3.0,0,0,274,4974,11,2,10
unplanned,12.8895337,77.640687,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,0.0,3.0,0,0,274,4974,11,2,10
unplanned,12.9847423,77.574706,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,0.0,4.0,0,0,2756,4974,11,0,10
unplanned,13.0229252,77.5099725,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,1.0,4.0,0,0,2756,4974,11,1,10
unplanned,12.8894616,77.6407007,0,High,closed,Hosur Road,unknown,unknown,700.3774083333333,,0.0,3.0,0,0,274,4974,11,2,10
unplanned,13.0436683,77.6067467,0,High,closed,ORR North 1,unknown,unknown,700.3774083333333,,2.0,3.0,0,0,239,4974,11,1,10
unplanned,13.0186759,77.5588615,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,400,4974,11,4,10
unplanned,12.9494883,77.5368741,1,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,629,4974,11,3,10
unplanned,13.0229482,77.601028,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,2756,4974,11,5,10
unplanned,12.9625233,77.6415686,0,High,closed,Old Airport Road,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,61,4974,11,7,10
unplanned,13.0976738,77.5990251,0,High,closed,Bellary Road 2,unknown,unknown,700.3774083333333,,3.0,3.0,0,0,329,4974,11,2,10
unplanned,13.1151883,77.6067482,0,High,closed,Bellary Road 2,unknown,unknown,700.3774083333333,,4.0,3.0,0,0,329,4974,11,2,10
unplanned,12.984191,77.5972223,0,High,active,CBD 2,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,94,4974,9,10,10
unplanned,12.97447,77.5492,0,High,closed,West of Chord Road,unknown,unknown,700.3774083333333,,1.0,4.0,0,0,158,4974,11,1,10
unplanned,12.9842204,77.597142,0,High,active,CBD 2,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,94,4974,9,10,10
unplanned,13.0488954,77.4970171,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,5.0,4.0,0,0,2756,4974,11,4,10
unplanned,12.9891874,77.5070709,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,4.0,4.0,0,0,215,4974,11,2,10
unplanned,12.9160564,77.6160829,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,2.0,3.0,0,0,2756,4974,11,1,10
unplanned,13.16120295,77.62691818,0,High,closed,Bellary Road 2,unknown,unknown,700.3774083333333,,4.0,3.0,0,0,329,4974,3,10,10
unplanned,12.9532283,77.538385,0,High,closed,West of Chord Road,unknown,unknown,700.3774083333333,,1.0,3.0,0,0,158,4974,11,2,10
unplanned,12.9844178,77.5970285,0,High,closed,CBD 2,unknown,unknown,700.3774083333333,,5.0,4.0,0,0,94,4974,9,10,10
unplanned,12.9446407,77.5969852,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,3.0,3.0,0,0,2756,4974,11,1,10
unplanned,13.0407502,77.5174141,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,2.0,3.0,0,0,400,4974,11,4,10
unplanned,12.95983785,77.64811735,0,High,closed,Old Airport Road,unknown,unknown,700.3774083333333,,5.0,3.0,0,0,61,4974,11,4,10
unplanned,12.9197329,77.5835635,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,5.0,4.0,0,0,2756,4974,11,1,10
unplanned,12.9875849,77.5182251,0,High,closed,Magadi Road,unknown,Sumanhalli,700.3774083333333,,21.0,5.0,0,1,215,15,4,10,10
unplanned,12.9886918,77.519831,0,High,closed,Magadi Road,unknown,unknown,700.3774083333333,,6.0,3.0,0,0,215,4974,11,2,10
unplanned,12.9595376,77.5557817,0,High,closed,Mysore Road,unknown,unknown,700.3774083333333,,3.0,3.0,0,0,629,4974,11,2,10
unplanned,12.993901,77.6190564,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,5.0,4.0,0,0,2756,4974,11,5,10
unplanned,12.9988047,77.5839954,0,High,closed,Bellary Road 1,unknown,unknown,700.3774083333333,,3.0,3.0,0,0,537,4974,11,4,10
